Product,Brand,description,Price,Offer,Offer_price,Reviews,Free_coupon,Coupon
"Maybelline New  - York Super Stay Vinyl Ink Liquid Lipstick, In...",Maybelline New ,"York Super Stay Vinyl Ink Liquid Lipstick, In...",1374.0,0,1374,37910,Yes,No Gift
Nykaa Matte  - To Last ! Transferproof Liquid Lipstick,Nykaa Matte ,To Last ! Transferproof Liquid Lipstick,675.0,20,540,77471,Yes,No Gift
Airy Velvet  - Velvet Matte Lip Mousse,Airy Velvet ,Velvet Matte Lip Mousse,900.0,20,720,9703,Yes,No Gift
C MACximal  - Matte Lipstick,C MACximal ,Matte Lipstick,1374.0,0,1374,8803,Yes,Free gift
Charlotte Tilbury  - Matte Revolution,Charlotte Tilbury ,Matte Revolution,1374.0,0,1374,4688,Yes,Free gift
Huda Beauty  - Power Bullet Matte Lipstick,Huda Beauty ,Power Bullet Matte Lipstick,1374.0,0,1374,6732,No,No Gift
Swiss Beauty  - My Shine High Pigmented & Long-Lasting Lipstick...,Swiss Beauty ,My Shine High Pigmented & Long-Lasting Lipstick...,349.0,10,314,1351,No,Free gift
MARS Creamy  - Matte Lipstick,MARS Creamy ,Matte Lipstick,199.0,2,195,24518,Yes,No Gift
Blue Heaven  - 2 - In - 1 Clear & Tinted Lip Gloss,Blue Heaven ,2 - In - 1 Clear & Tinted Lip Gloss,249.0,25,186,5282,No,No Gift
ColourPop Lippie  - Stix,ColourPop Lippie ,Stix,1374.0,0,1374,1249,No,No Gift
"Lakme Forever  - Matte Lipstick, Made With French Rose Oil Extr...",Lakme Forever ,"Matte Lipstick, Made With French Rose Oil Extr...",349.0,15,296,43195,Yes,No Gift
Nykaa Cosmetics  - So Creme! Creamy Matte Lipstick,Nykaa Cosmetics ,So Creme! Creamy Matte Lipstick,329.0,15,279,173350,Yes,No Gift
"LOreal Paris  - Infallible Matte Resistance Lipstick, Transfer ...",LOreal Paris ,"Infallible Matte Resistance Lipstick, Transfer ...",1374.0,0,1374,6467,Yes,No Gift
Kay Beauty  - Hydra Creme Lipstick,Kay Beauty ,Hydra Creme Lipstick,1374.0,0,1374,3655,Yes,No Gift
"Maybelline Color  - Sensational Creamy Matte Lipstick, 12H Form...",Maybelline Color ,"Sensational Creamy Matte Lipstick, 12H Form...",1374.0,0,1374,157258,Yes,No Gift
Nykaa All  - Day Matte Long Lasting Transferproof Liquid Lipsti...,Nykaa All ,Day Matte Long Lasting Transferproof Liquid Lipsti...,399.0,20,319,53139,Yes,No Gift
Swiss Beauty  - Bold Matte Lip Liner Pencil,Swiss Beauty ,Bold Matte Lip Liner Pencil,1374.0,0,1374,138294,Yes,Free gift
"Maybelline New  - York Super Stay Matte Ink Liquid Lipstick, La...",Maybelline New ,"York Super Stay Matte Ink Liquid Lipstick, La...",1374.0,0,1374,111633,Yes,No Gift
SUGAR Matte  - Attack Transferproof Lipstick,SUGAR Matte ,Attack Transferproof Lipstick,749.0,20,599,23898,Yes,Free gift
"Lakme Forever  - Matte Liquid Lip Color, 16Hr Lipstick, Lightwe...",Lakme Forever ,"Matte Liquid Lip Color, 16Hr Lipstick, Lightwe...",429.0,10,386,124402,No,No Gift
Oreal Paris  - Color Riche Satin Lipstick,Oreal Paris ,Color Riche Satin Lipstick,1374.0,0,1374,211,No,No Gift
